true_equation,equation_simplified,complexity_multivar,complexity_simplified,eval_std,eval_mean,eval_min,eval_max
 0.40376927194172296 / (((x - (-0.4947642478930798 * x)) / ((-0.3941991308578927 + x) + 0.2398253030326923)) * (sqrt(exp((2.1917334473914623 - x) - -0.1225902188226029)) * (cos(x) - (x + x))))                                                    ,0.084920308695659798*(x - 0.1543738278252004)/(x*(-2*x + cos(x))*sqrt(exp(-x))),28,14,4143506.0777215566,-131095.00921834027,-131094731.08231992,2.9026424896996974
 cos(((sqrt(x) - x) * 0.9888612952808509) + (x / 0.5309892407777248)) - ((0.48138994810314384 - (((-0.08777337582633 + x) - x) / -0.15806139825428683)) - (x * -0.5827044084802759))                                                                 ,-0.5827044084802759*x + cos(0.9888612952808509*sqrt(x) + 0.8944160354148304*x) + 0.073921954712757496,25,12,1.8242422689632127,-2.913670859318865,-5.452812216442387,1.0739219546055938
 (1.0476431310309318 * x) + cos((x + ((0.7990648738246741 * x) / x)) * (0.006380717690070109 + x))                                                                                                                                                    ,1.0476431310309318*x + cos((x + 0.006380717690070109)*(x + 0.7990648738246741)),16,9,3.0589968063160344,5.275055405870539,0.4370141000953166,11.413509641438916
 ((x / 0.8837166790090767) + ((x + x) / (0.8090104010465049 + (0.9192338140898045 + cos(x))))) - (x / exp(cos(x)))                                                                                                                                   ,1.131584390962625*x - x*exp(-cos(x)) + 2*x/(cos(x) + 1.728244215136309),20,14,3.613330791141215,6.284463916278068,1.4967771538497464e-10,10.997993995185116
 (0.29638781255541397 + (x * -0.08689047616877955)) * -0.9240382011878401                                                                                                                                                                                 ,0.08029011929935394*x - 0.27387366116770345,7,4,0.2320095035661602,0.1275769353330807,-0.2738736611596744,0.5290275318258361
 -1.5280358892410586 * (((x - x) - x) + 1.96195479224706)                                                                                                                                                                                               ,1.5280358892410586*x - 2.9979373356219926,9,4,4.415472927276456,4.642242110659702,-2.997937335469189,12.282421556788591
 ((x + 0.9930835037457358) * (x - x)) + ((sqrt(x) * -0.21756469082204474) - x)                                                                                                                                                                        ,-0.21756469082204474*sqrt(x) - x,14,4,3.0489876134277303,-5.458547480083828,-10.687999961427993,-2.175746908220447e-06
 ((x * (0.28015047253291103 * x)) - x) + ((x / x) + ((0.6557851298859767 - ((x - -0.36891845674833773) - (x * x))) + (x + 0.8233409612214289)))                                                                                                   ,1.280150472532911*x**2 - x + 2.1102076343590679,25,8,35.416960871751584,39.803247250906345,1.91491813752711,120.12525488765016
 (((0.4061657753950348 * x) * -0.33219601304465163) - (x / (x / -0.5140187725487316))) - (((-1.0372429151400677 * x) / ((x - -0.8962552335833068) - (1.1296211260245133 * cos(cos(x))))) * 2.1764165211728517)                                       ,-0.13492665122142003*x + 2.2574726169803336*x/(x - 1.1296211260245133*cos(cos(x)) + 0.8962552335833068) + 0.5140187725487316,27,15,0.4430120948568743,2.038824519711845,0.5140187733247905,2.9975770063248453
 ((x - 0.2997560705405461) - cos(((x / 1.0327219466854598) - cos(x * -1.3734184730253516)) - (x / x))) - (((x + -0.21069958943014058) - sqrt(sqrt(x))) - -0.7116078304724981)                                                                       ,x**(1/4) - cos(-0.96831485300522421*x + cos(1.3734184730253516*x) + 1) - 0.80066431158290363,27,17,0.7066523291254558,0.490746862946158,-0.7821855256582603,1.701072767253561
 ((x * (x - x)) + -0.5916562524123876) + (((cos((x * (x * -0.44330196984715875)) * (x - x)) + (2.2331406319730687 + x)) * -0.637508449269774) + sqrt(x))                                                                                          ,sqrt(x) - 0.637508449269774*x - 2.6528107229726358,27,6,1.1206931942527267,-3.732715565961976,-5.865617555501996,-2.260664373247347
 (0.984398396150175 + (x / sqrt(x))) / ((exp(0.8108185185092271 / x) - cos(cos(x - x))) * 0.5480415276019995)                                                                                                                                         ,(sqrt(x) + 0.984398396150175)/(0.5480415276019995*exp(0.8108185185092271/x) - 0.5480415276019995*cos(1)),19,14,,,,
 ((x * -0.14882222955845092) * (sqrt(exp(x)) - x)) - exp(cos(0.330379474396709 / (1.0657242424025997 + x)))                                                                                                                                            ,-0.14882222955845092*x*(-x + sqrt(exp(x))) - exp(cos(0.330379474396709/(x + 1.0657242424025997))),17,14,48.51330888033085,-33.21673287374321,-208.70662004618163,-2.59174696015378
 0.9768281668126854 * (x - ((0.13702987404208186 - x) / 1.7267453232427106))                                                                                                                                                                             ,1.5425329952342087*x - 0.077518461383598869,9,4,4.4573643380000645,7.635146514864571,-0.0775184612293455,15.347811490958488
 exp(-1.4948157391568961 * ((x + 0.1358690869882549) - -2.455880042558093))                                                                                                                                                                               ,0.020771209894011583*exp(-1.4948157391568961*x),8,5,0.0035605730102046,0.0013985713632734,6.692055352844655e-09,0.0207712098909066
 sqrt(x / 0.2960179689713716) + sqrt(x)                                                                                                                                                                                                                  ,2.837980767865286*sqrt(x),7,3,2.119697269865815,5.981434416458339,2.837980767865286e-05,8.974483182207898
 ((exp(cos(x)) * (x * 1.292241741802411)) / -0.9430614442304703) * -0.36124766942095055                                                                                                                                                                  ,0.49500413828868923*x*exp(cos(x)),11,5,2.595450767540104,2.776929606283697,1.3455607541221723e-10,8.559706420108231
 cos(x - ((x - 0.06295433929114629) * x)) - (x * -0.6034213431298229)                                                                                                                                                                                  ,0.6034213431298229*x + cos(x*(x - 0.06295433929114629) - x),12,8,1.705172397242421,3.1524135313596227,0.4237115745219595,6.988418135537773
 ((cos(x) - x) * 0.22111549121939506) + -0.6234851695059023                                                                                                                                                                                              ,-0.22111549121939506*x + 0.22111549121939506*cos(x) - 0.6234851695059023,8,8,0.6918597837758682,-1.7410618537511748,-3.020171795019801,-0.4023696783086188
 exp((cos((x + 0.07154537693027828) - (0.10154866130930143 * (x - -0.45668945079321205))) - 0.21303580234092623) + cos(x))                                                                                                                              ,0.80812720385288629*exp(cos(x) + cos(0.89845133869069857*x + 0.025169174568147509)),16,10,1.861792205243304,1.7401930042602245,0.1120089484797973,5.969406273019512
 ((1.7023683559013514 + (-0.5194269310198056 + x)) / -0.35903961383896055) - cos(0.3995956576368387 + x)                                                                                                                                                 ,-2.7852079866834092*x - cos(x + 0.3995956576368387) - 3.2947379043587335,12,8,7.949782616313501,-17.099415921235703,-30.585498834322344,-4.215956281636337
 exp((((x * 0.589909663298598) + x) / (-0.06155802832777238 / x)) * ((x / x) + 0.19785222227657123))                                                                                                                                                  ,exp(-30.937911351881313*x**2),16,6,0.1071708570472241,0.0164171362297733,0.0,1.0
 exp(0.4491415538859862 - x) * ((((x / -0.06271855127469912) - cos(exp(x))) + ((x / 0.19060855931195017) + -0.35279839212034614)) - cos(0.2543953988049355 + x))                                                                                      ,1.566966451691592*(-10.6978917183542*x - cos(x + 0.2543953988049355) - cos(exp(x)) - 0.35279839212034614)*exp(-x),23,16,2.152573801543192,-1.7733023112001025,-6.218120842136772,-0.0075359856687042
 x + ((((x - (x / -0.8762380026954306)) + x) * (((-0.7951882802270387 - x) + x) + (x / x))) + (((-1.3067611403750943 * x) - x) * 0.3634019303495286))                                                                                            ,0.80508181597689455*x,27,2,2.3263962500606805,4.025409079924724,8.050818159768945e-11,8.050818159768923
 (1.315954271024033 / exp(x)) / ((sqrt(x) + cos(x * (((0.32632526153853914 * x) - -1.896557118338234) - -0.21247613349383926))) + 1.883057636062467)                                                                                                   ,1.315954271024033*exp(-x)/(sqrt(x) + cos(x*(0.32632526153853914*x + 2.1090332518320733)) + 1.883057636062467),20,15,0.0926305463971494,0.046588300704991,1.4330214298957394e-05,0.4564423860307677
 (x - x) / ((0.9987287939113779 - x) * ((0.9022008109008832 / (x + x)) / (((x + -0.9012005706310556) * 0.7604152241634156) - (x - -0.537450416487716))))                                                                                            ,0,23,1,0.0,0.0,0.0,0.0
 1.7689921778060536 + cos(exp(-0.7938990537862833 * (x / 1.3718476293326343)))                                                                                                                                                                            ,cos(exp(-0.5787078949667997*x)) + 1.7689921778060536,9,6,0.0896023195286932,2.727364596611757,2.3092944837228897,2.768987474786812
 sqrt(sqrt(x) + sqrt(0.8295778186971439 + x))                                                                                                                                                                                                            ,sqrt(sqrt(x) + sqrt(x + 0.8295778186971439)),8,6,0.3595242303676272,2.07452897347394,0.9543697535056525,2.54029723656726
 exp(((x * 1.3985029137652467) / 0.5126851665088263) / (cos(x) + sqrt(x * x)))                                                                                                                                                                         ,exp(2.7278006174597804*x/(sqrt(x**2) + cos(x))),14,10,15.023429880129369,20.528344849870027,1.00000000027278,61.023626118647606
 ((1.4605158672586926 + (x - cos(x))) / ((x - -0.1828119783857637) - -0.36206856194709985)) + (0.23666773049700854 + x)                                                                                                                                ,x + 0.23666773049700854 + (x - cos(x) + 1.4605158672586926)/(x + 0.54488054033286355),16,10,2.822260049070805,6.449632835343934,1.0818362275171776,11.403071403757291
 cos((cos(x) + (0.5391348597403433 * x)) - cos(-0.42588635773391825 * ((-0.25318531804498506 - x) / -0.41920890231855)))                                                                                                                                ,cos(0.5391348597403433*x + cos(x) - cos(1.0159287061377674*x + 0.25721823257452079)),16,11,0.5561323628124203,-0.0871314271513678,-0.9999994998954111,0.9994588890887024
 cos(x) + (cos(((x + sqrt(x)) / (x + 0.21563679186382823)) + 0.9629787514614475) - -0.5380652304307814)                                                                                                                                                ,cos(x) + cos((sqrt(x) + x)/(x + 0.21563679186382823) + 0.9629787514614475) + 0.5380652304307814,16,12,0.721943065525939,-0.233415931049353,-1.2177300207429709,2.109104438156233
 exp(x) - exp(x)                                                                                                                                                                                                                                         ,0,5,1,0.0,0.0,0.0,0.0
 (x * 0.3205903845603514) + sqrt(x)                                                                                                                                                                                                                      ,sqrt(x) + 0.3205903845603514*x,6,4,1.6648056826445432,3.710589326209192,1.0000032059038456e-05,6.368181505771894
 ((x - -0.6585891850676645) + 1.0303302756797466) * -0.33579593416202963                                                                                                                                                                                  ,-0.33579593416202963*x - 0.56713228804610825,7,4,0.9703292094260773,-2.2461119588730463,-3.925091629666405,-0.5671322880796879
 ((-0.6342945249818343 * (x / 0.6989395293929418)) * (x + (cos(x) - (x - x)))) - ((sqrt(exp(x)) * -0.2031902293252323) - x)                                                                                                                         ,-0.9075098750427603*x*(x + cos(x)) + x + 0.2031902293252323*sqrt(exp(x)),22,11,16.487606677693748,-18.601939107262275,-42.98022668630021,0.2145688775525323
 0.938418131140246 + (-0.42490944021930777 - (x * 0.9796437777694079))                                                                                                                                                                                    ,0.5135086909209382 - 0.9796437777694079*x,7,4,2.830817397400318,-4.384710197975084,-9.28292908677314,0.5135086908229738
 x / (1.8280150946438207 * exp(x))                                                                                                                                                                                                                       ,0.54704143468511393*x*exp(-x),6,5,0.0670099310473812,0.0546218151077002,5.4704143463040976e-11,0.2012451965326276
 exp((((x + 0.2599202780619426) / (x - (exp(x) + x))) - (0.07541913354349881 * ((x - x) / x))) * 1.503489410371402)                                                                                                                                 ,exp(-1.503489410371402*(x + 0.2599202780619426)*exp(-x)),21,8,0.1781464224181848,0.8495691498382151,0.4880788160965725,0.999299920314062
 (cos(x * x) * -0.0357251012420466) - (x * (0.7065846895229063 + (-1.0501996528867743 / (x * -1.8700090033767705))))                                                                                                                                   ,-x*(0.7065846895229063 + 0.56160138854432/x) - 0.0357251012420466*cos(x**2),16,13,2.037904570245084,-4.096703782249986,-7.658254712788788,-0.5973264898570252
 x + ((((x + x) / 0.48458452931183343) * 0.8072516395062804) - x)                                                                                                                                                                                      ,3.3317268326856077*x,11,2,9.62748959915499,16.658634163594627,3.3317268326856076e-10,33.31726832685608
 exp((0.38041235167388004 - x) / (x + (x - -2.270757849576458)))                                                                                                                                                                                        ,exp((0.38041235167388004 - x)/(2*x + 2.270757849576458)),10,8,0.1021683240448063,0.7273518616686937,0.6492495984704127,1.18237674597492
 cos((((x * -1.0143268499965123) - sqrt(x)) - x) - x)                                                                                                                                                                                                  ,cos(sqrt(x) + 3.0143268499965123*x),11,5,0.7019267914339105,0.0228128524622996,-0.999999956051516,0.999999999949997
